Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
6618;31;English;3;Female;EC;E;Product1;2009;1;Cash;4
6631;31;English;3;Male;EC;A;Product1;2012;0;Debit;4
6636;31;English;2;Female;EC;F;Product1;2011;1;Cash;2
6656;31;English;2;Female;EC;G;Product6;2012;0;Cash;2
6684;31;English;3;Male;EC;I;Product6;2013;0;Cash;2
6697;31;English;2;Female;EC;I;Product3;2008;0;Cash;2
6704;31;English;2;Male;EC;B;Product3;2009;0;Debit;5
6736;31;English;2;Female;EC;;Product3;2010;1;Cash;6
6748;31;English;2;Male;EC;;Product3;2009;1;Cash;6
6750;31;English;3;Female;EC;;Product2;2013;0;Cash;6
6760;31;English;2;Female;EC;;Product1;2008;1;Cash;6
6792;31;English;3;Male;EC;A;Product3;2009;0;Debit;6
6824;31;English;2;Male;EC;C;Product3;2011;1;Cash;6
6831;31;English;2;Female;EC;H;Product3;2010;1;Cash;2
6837;31;English;3;Female;EC;I;Product3;2010;0;Cash;2
6878;31;English;3;Male;EC;A;Product1;2011;0;Debit;4
6882;31;English;2;Male;EC;;Product1;2010;0;Cash;6
6936;31;English;3;Female;EC;B;Product3;2012;0;Debit;5
6969;31;English;2;Female;EC;;Product4;2013;0;Cash;6
6970;31;English;2;Female;EC;I;Product10;2012;1;Debit;5
6988;31;Afrikaans;3;Male;EC;;Product1;2013;1;Debit;1
7000;32;Afrikaans;3;Female;EC;B;Product10;2005;0;Debit;1
7002;32;English;2;Male;EC;;Product3;2013;0;Cash;6
7016;32;English;3;Female;EC;I;Product1;2013;1;Cash;2
7026;32;English;2;Female;EC;E;Product6;2008;0;Cash;2
7034;32;Afrikaans;3;Male;EC;C;Product1;2005;1;Cash;1
7063;32;English;2;Male;EC;B;Product1;2007;0;Debit;4
7066;32;English;2;Female;EC;D;Product3;2011;0;Debit;5
7067;32;English;3;Male;EC;A;Product1;2005;0;Debit;4
7077;32;Afrikaans;3;Male;EC;B;Product1;2006;0;Debit;1
7080;32;English;2;Male;EC;G;Product6;2012;0;Debit;5
7086;32;English;3;Female;EC;;Product1;2013;0;Cash;4
7106;32;English;2;Male;EC;F;Product3;2012;0;Cash;2
7131;32;English;3;Male;EC;B;Null;2008;0;Debit;4
7151;32;English;2;Female;EC;F;Product5;2008;1;Cash;2
7152;32;Afrikaans;3;Male;EC;;Product1;2008;0;Cash;1
7159;32;English;3;Female;EC;H;Product3;2010;1;Cash;2
7163;32;English;2;Male;EC;I;Product6;2012;0;Cash;2
7164;32;English;2;Male;EC;;Product6;2013;0;Cash;6
7199;32;English;2;Female;EC;;Product3;2013;0;Debit;6
7212;32;English;3;Male;EC;D;Product3;2008;1;Cash;2
7214;32;English;2;Female;EC;;Product3;2013;1;Cash;6
7216;32;English;2;Female;EC;;Product3;2013;0;Cash;6
7227;32;English;3;Male;EC;D;Product7;2007;0;Debit;5
7234;32;English;3;Female;EC;;Product3;2013;0;Cash;6
7242;32;English;2;Female;EC;H;Product3;2009;0;Cash;2
7252;32;English;2;Female;EC;;Product3;2013;0;Debit;6
7256;32;English;2;Male;EC;I;Product6;2010;1;Cash;2
7259;32;English;2;Male;EC;H;Product6;2011;1;Cash;2
7265;32;English;2;Female;EC;F;Product1;2012;0;Debit;5
7268;32;English;2;Male;EC;G;Product3;2012;1;Cash;2
7270;32;English;2;Male;EC;C;Product3;2012;0;Cash;6
7284;32;English;2;Female;EC;C;Product3;2009;0;Debit;5
7298;32;English;3;Male;EC;H;Product3;2012;0;Cash;2
